,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
06acef2f-9e16-4a16-ac87-9e032feaa6dd,1,1,1,1,0,1,0,0,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0,0,0
s130,29,4,63,72,0,0,0,0,57500,1.0,15,1.0,1.0,3.0,1.0,,1,-1,3,0,0,3,0
s192,19,3,68,190,0,0,0,0,120000,0.0,,1.0,1.0,4.0,1.0,,1,2,0,0,1,0,0
s251,19,3,71,136,0,0,0,0,500000,0.0,,,,1.0,,,0,0,0,0,0,1,0
s358,26,4,63,117,0,60,3,0,40000,1.0,10,1.0,3.0,5.0,2.0,1.0,3,0,0,0,0,0,0
s373,32,5,71,194,0,72,4,0,185000,1.0,,1.0,4.0,6.0,6.0,,3,1,0,0,0,1,0
s445,21,2,64,130,0,24,3,0,45000,0.0,0,,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1
s465,23,4,74,166,0,0,0,0,0,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
s471,22,3,68,130,0,5,1,0,30000,0.0,,1.0,1.0,1.0,1.0,1.0,1,1,3,0,0,0,0
s483,20,3,66,125,0,0,0,0,99983,0.0,,,,,,,3,1,0,0,0,0,1
s491,23,5,63,155,0,3,1,0,12000,0.0,,1.0,1.0,1.0,1.0,,1,1,0,0,0,0,0
s495,23,4,65,108,0,0,0,0,28800,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1,0
s497,29,5,62,112,0,60,2,0,100000,0.0,,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,2,0
s499,22,5,67,148,0,60,3,0,0,0.0,,1.0,1.0,5.0,1.0,,1,0,0,0,0,0,0
s512,23,4,64,120,0,24,1,0,57,0.0,,1.0,1.0,4.0,1.0,1.0,2,3,0,0,0,0,0
s524,23,4,63,111,0,4,3,0,50000,0.0,,1.0,1.0,6.0,1.0,,0,1,0,0,0,1,0
s525,18,2,67,165,0,25,4,0,29000,0.0,,1.0,1.0,1.0,1.0,1.0,1,1,0,125,0,2,0
s526,28,4,63,118,0,18,5,0,0,0.0,,1.0,1.0,3.0,1.0,,0,0,0,0,0,1,0
