,1.0
NBZN,-1.0
NBZT,1.0
NBAC,1.0
NBAVRT,-1.0
NBAVRTE,1.0
NBHD,1.0
NBHN,1.0
NBHT,1.0
NBMEANLD,1.0
NBMSPRC,-1.0
NBPES,1.0
NBDRT,1.0
NBDRTE,1.0
adaptive_n_back_mturk.EZ_drift,1.0
adaptive_n_back_mturk.EZ_non_decision,-1.0
adaptive_n_back_mturk.EZ_thresh,1.0
adaptive_n_back_mturk.acc,1.0
adaptive_n_back_mturk.avg_rt,-1.0
adaptive_n_back_mturk.avg_rt_error,1.0
adaptive_n_back_mturk.hddm_drift,1.0
adaptive_n_back_mturk.hddm_non_decision,1.0
adaptive_n_back_mturk.hddm_thresh,1.0
adaptive_n_back_mturk.mean_load,1.0
adaptive_n_back_mturk.missed_percent,-1.0
adaptive_n_back_mturk.post_error_slowing,1.0
adaptive_n_back_mturk.std_rt,1.0
adaptive_n_back_mturk.std_rt_error,1.0
ARTKCLCK,-1.0
ARTKLPC,-1.0
ARTKSCOR,1.0
ARTRCLCK,-1.0
ARTRLPC,-1.0
ARTRSCOR,1.0
angling_risk_task_always_sunny_mturk.keep_adjusted_clicks,-1.0
angling_risk_task_always_sunny_mturk.keep_loss_percent,-1.0
angling_risk_task_always_sunny_mturk.keep_score,1.0
angling_risk_task_always_sunny_mturk.release_adjusted_clicks,-1.0
angling_risk_task_always_sunny_mturk.release_loss_percent,-1.0
angling_risk_task_always_sunny_mturk.release_score,1.0
ANTZD,1.0
ANTCGZD,1.0
ANTINCZD,1.0
ANTNTRZD,1.0
ANTZN,-1.0
ANTCGZN,-1.0
ANTINCZN,-1.0
ANTNTRZN,-1.0
ANTZT,1.0
ANTCGZT,1.0
ANTINCZT,1.0
ANTNTRZT,1.0
ANTAC,1.0
ANTALTZD,1.0
ANTALTZN,1.0
ANTALTZT,1.0
ANTALTAC,1.0
ANTALTHD,1.0
ANTALTRT,1.0
ANTAVRT,-1.0
ANTAVRTE,1.0
ANTCONZD,1.0
ANTCONZN,1.0
ANTCONZT,1.0
ANTCONAC,1.0
ANTCONHD,1.0
ANTCONRT,-1.0
ANTCGSAC,1.0
ANTCGSRT,1.0
ANTZHD,1.0
ANTCGHD,1.0
ANTINCHD,1.0
ANTNTRHD,1.0
ANTZHN,1.0
ANTZHT,1.0
